"filename", "language", "YAML", "Markdown", "Swift", "C++", "CMake", "JSON", "HTML", "XML", "Dart", "Gradle", "Properties", "CMake Cache", "C", "comment", "blank", "total"
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\1x663w4l\x86_64\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 0, 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 130, 792
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\1x663w4l\x86_64\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 62, 132, 804
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\1x663w4l\x86_64\android_gradle_build.json", "JSON", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\1x663w4l\x86_64\android_gradle_build_mini.json", "JSON", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\1x663w4l\x86_64\cmake_install.cmake", "CMake", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\1x663w4l\x86_64\prefab_config.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\arm64-v8a\.cmake\api\v1\reply\cache-v2-702cbf494589c27019f8.json", "JSON", 0, 0, 0, 0, 0, 1367, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1368
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\arm64-v8a\.cmake\api\v1\reply\cmakeFiles-v1-b2abd118515d2c66e61f.json", "JSON", 0, 0, 0, 0, 0, 803, 0, 0, 0, 0, 0, 0, 0, 0, 1, 804
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\arm64-v8a\.cmake\api\v1\reply\codemodel-v2-39619ec46cbcab63ac4f.json", "JSON", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\arm64-v8a\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
